Similarity	English text	German sentenced	German sentence (translated)
partially	On 5 July 2011, the court of appeal reversed and held that the State was responsible for, and indeed actively coordinated, the evacuation once Srebrenica fell, and therefore is responsible for the decision to dismiss Nuhanović's brother and Mustafić fr...	Am 5. Juli 2011 urteilte ein Berufungsgericht in Den Haag, dass die Niederlande für den Tod der drei Männer verantwortlich sind.	On July 5, 2011, an appeals court in the Hague ruled that the Netherlands for the deaths of the three men are responsible.
partially	In 2005, the Church of Scientology stated its worldwide membership to be eight million, although that number included people who took only the introductory course and did not continue on.	Diese Zahl umfasst auch Personen, die lediglich an einem Einführungskurs teilnahmen.	This figure includes people who only attended an introductory course.
partially	He met the famous astronomer Domenico Maria Novara da Ferrara and became his disciple and assistant.	In Bologna studierte Kopernikus neben Griechisch bei Urceus Codrus auch Astronomie und lernte bei Domenico Maria da Novara neuere Theorien zur Bewegung der Planeten kennen.	Copernicus studied also astronomy as well as Greek at Urceus Codrus , Bologna and learned at Domenico Maria da Novara know newer theories of the motion of the planets.
partially	Luther's collaborator Philipp Melanchthon also took issue with Copernicanism.	Eine Ablehnung der heliozentrischen Lehre erfolgte stattdessen von protestantischer Seite, allen voran Luther und Melanchthon.	A rejection of the heliocentric theory was above all instead of Protestant side, Luther and Melanchthon.
partially	It was released in Canada on December 7, 2012 with a MSRP of C$99.99, in Europe on March 15, 2013, in the United Kingdom on March 22, 2013, and in the United States on November 17, 2013.	Am 15. März 2013 erschien die Wii mini in Deutschland, eine Woche später am 22. März 2013 in Großbritannien.	On March 15, 2013 appeared Wii mini in Germany, a week later on 22 March 2013 in the United Kingdom.
partially	Nintendo announced the successor to the Wii, Wii U, at the Electronic Entertainment Expo 2011.	Auf der E3-Konferenz wurde von Nintendo bekanntgegeben, dass der offizielle Name Wii U lautet.	At the E3 Conference was announced by Nintendo, that is the official name of Wii U .
partially	A 2010 study by three economists (Arindrajit Dube of the University of Massachusetts Amherst, T. William Lester of the University of North Carolina at Chapel Hill, and Michael Reich of the University of California, Berkeley), compared adjacent counties i...	Die 2010 veröffentlichte Untersuchung „Minimum Wage Effects Across State Borders“ des Arbeitsmarkt-Forschungszentrums an der University of California in Berkeley kam zum Ergebnis, dass höhere Mindestlöhne in den USA in den vergangenen 16 Jahren zu...	The 2010 study "Minimum wage Effects Across State borders" of the labour market research centre at the University of California at Berkeley concluded that higher minimum wages in the United States have led to any loss of jobs in the past 16 years.
different	Nintendo announced the successor to the Wii, Wii U, at the Electronic Entertainment Expo 2011.	Sie wurde auf der E3 Expo 2011 in Los Angeles erstmals präsentiert.	She was is unveiling 2011 Expo at E3 in Los Angeles .
different	Following the LDP's landslide victory in the 2012 general election, Shinzō Abe replaced Yoshihiko Noda as the Prime Minister on December 26, 2012.	In der Unterhauswahl im Dezember 2012 gewannen Liberaldemokratische Partei (LDP) und Kōmeitō zusammen mehr als ein Drittel der Stimmen und eine Zweidrittelmehrheit der Sitze.	Won in the general election in December 2012 Liberal Democratic Party (LDP) and new komeito party along more than one-third of the vote and a two-thirds majority of the seats.
different	Some 250 high-speed Shinkansen trains connect major cities and Japanese trains are known for their safety and punctuality.	Die Ost-West-Verbindung des Shinkansen ist die Lebensader des Landes.	The East-West connection of the Shinkansen is the lifeline of the country.
different	The combined population of all member states, excluding Croatia, which joined the EU in 2013, was forecast to be 503,679,730 on 1 January 2012.	Am 1. Juli 2013 wurde Kroatien der 28. Mitgliedsstaat.	Croatia the 28th Member State was on July 1, 2013.
different	Historically, 40 Nobel Prize winners are affiliated with the Berlin-based universities.	Die im Zuge der Preußischen Reformen durch Wilhelm von Humboldt gegründete und im Jahre 1809 eröffnete Berliner Universität brachte 29 Nobelpreisträger hervor.	The opened in 1809 and was founded in the wake of the Prussian reforms by Wilhelm von Humboldt University of Berlin has produced 29 Nobel Prize winners .
different	The ensemble on the Museum Island is a UNESCO World Heritage Site and is situated in the northern part of the Spree Island between the Spree and the Kupfergraben.	Im Jahr 1841 bestimmte eine königliche Order, die von Spree und Kupfergraben umflossene Museumsinsel im nördlichen Teil der Spreeinsel zu einem „der Kunst und der Altertumswissenschaft geweihten Bezirk“.	In 1841, a royal order, the Museum Island round of spree and the Kupfergraben , which flows in the northern part of the Spree Island to a certain "Art and the archaeology consecrated district".
different	The Greater Berlin Act in 1920 incorporated many suburbs and surrounding cities of Berlin.	Mit dem Groß-Berlin-Gesetz von 1920 stieg die Bevölkerungszahl durch Eingemeindung bisher unabhängiger Städte und Dörfer auf fast vier Millionen an.	The population grew to almost four million through merger of previously independent towns and villages with the Greater Berlin Act of 1920.
different	One had been a member of the group separated from the women in Potočari on 13 July.	Die bosniakischen Männer, die in Potočari von den Frauen, Kindern und Älteren getrennt worden waren, wurden nach Bratunac transportiert.	The Bosniak men who were separated in Potočari from the women, children and elderly were transported to Bratunac .
different	It is commonly referred to as a continuation or radicalization of classical liberalism.	Die Libertären der USA berufen sich weiterhin auf Vertreter des Klassischen Liberalismus der Aufklärung.	The libertarians of the United States continue to rely on representatives of the classical liberalism of the enlightenment.
different	While acknowledging that a number of his colleagues accept Scientology as a religion, sociologist Stephen A. Kent writes: "Rather than struggling over whether or not to label Scientology as a religion, I find it far more helpful to view it as a multiface...	Hubbard, so Stephen A. Kent, habe Scientology nur den Deckmantel einer „Religion“ umgehängt, um Steuern zu sparen und auf potenzielle Mitglieder attraktiver zu wirken.	Hubbard, so Stephen A. Kent, Scientology hung around only the guise of 'religion', to save taxes and work more attractive to potential members.
different	The church was destroyed in the Second World War and left in ruins.	Die im Zweiten Weltkrieg zerstörte Kaiser-Wilhelm-Gedächtniskirche wurde zwischen 1891 und 1895 erbaut.	The Kaiser-Wilhelm Gedächtniskirche Church destroyed during the second world war was built between 1891 and 1895.
different	The church was destroyed in the Second World War and left in ruins.	Vor dem Zweiten Weltkrieg war die anglikanische Kirche in einem gotischen Kirchbau im Monbijoupark beheimatet; diese wurde aber durch den Krieg stark beschädigt und die Ruine wurde von der DDR-Führung abgerissen.	Before the second world war, the Anglican Church in a Gothic church building in monbijou Park was located; This was badly damaged but the war and the ruin was demolished by the East German Government.
different	It was not until the 1890s that legislative attempts to regulate minimum wages were seen in New Zealand and Australia.	1896 wurden in Neuseeland durch den Industrial Conciliation and Arbitration Act Lohnschlichtungsstellen eingeführt, gefolgt von Victoria, Australien, im Jahr 1899 und Großbritannien im Jahr 1909, die ähnliche Schlichtungsstellen einführten.	in 1896 were in New Zealand by the industrial conciliation and Arbitration Act wage resolution Authority introduced followed by Victoria, Australia, in the year of 1899 and the United Kingdom in 1909, the similar arbitration bodies introduced.
different	Many scientology techniques are in fact hypnotic techniques, and Hubbard has not changed their nature by changing their names.	Während Hubbard in Dianetik Hypnose ablehnt, sprach der Report für die australische Regierung im Jahre 1965 davon, dass beim Auditing hypnotisierende Techniken eingesetzt werden.	While Hubbard Dianetics hypnosis, the report for the Australian Government said in 1965 the fact that hypnotic techniques used in auditing.
different	In 1307 they formed an alliance with a common external policy, their internal administrations still being separated.	Die beiden Städte bekamen 1307 ein gemeinsames Rathaus.	The two cities had a common Town Hall 1307.
different	Structural Funds and Cohesion Funds are supporting the development of underdeveloped regions of the EU.	Der erste der drei Strukturfonds ist der Europäische Fonds für regionale Entwicklung (EFRE).	The European regional development fund (ERDF) is the first of the three structural funds.
different	Friedrichstraße was Berlin's legendary street during the Golden Twenties.	Die Stadt erlebte in den 1920er Jahren eine Blütezeit der Kunst, Wissenschaft und Kultur, die später als die „Goldenen Zwanziger“ bezeichnet wurden.	In the 1920s, the city experienced a golden age of art, science and culture, which were referred to as the "Golden twenties".
different	The global warming controversy refers to a variety of disputes, substantially more pronounced in the popular media than in the scientific literature, regarding the nature, causes, and consequences of global warming.	Die Erforschung von Ursachen und Folgen der globalen Erwärmung ist seit ihrem Beginn eng mit der Analyse der klimatischen Bedingungen vergangener Zeiten verknüpft.	The investigation of causes and consequences of global warming is closely related to the analysis of the climatic conditions of the past since its inception.
different	Reducing the amount of future climate change is called mitigation of climate change.	Anpassungsmaßnahmen an die globale Erwärmung beziehen sich auf bereits eingetretene bzw. künftig zu erwartende Klimaänderungen.	Adaptation to global warming relate to already occurred or to expected future climate change.
different	According to Noam Chomsky, analysis of the psychological implications of wage slavery goes back to the Enlightenment era.	Der amerikanische Sprachwissenschaftler Noam Chomsky bezeichnete sich zur Abgrenzung deshalb wiederholt als libertarian socialist, wobei er den Bedeutungswandel des Begriffs libertarian kritisiert.	The American linguist Noam Chomsky described to distinguish therefore repeatedly as a libertarian socialist, where he criticized the change in meaning of the term libertarian .
different	Following German reunification in 1990, the city was once more designated as the capital of all Germany, hosting 158 foreign embassies.	Die überwiegende Zahl der Auslandsvertretungen in Deutschland verlegten in den folgenden Jahren ihren Sitz von Bonn nach Berlin.	The majority of foreign representatives in Germany moved its headquarters from Bonn to Berlin in the following years.
different	While acknowledging that a number of his colleagues accept Scientology as a religion, sociologist Stephen A. Kent writes: "Rather than struggling over whether or not to label Scientology as a religion, I find it far more helpful to view it as a multiface...	Die Mehrheit der Religions- und Sozialwissenschaftler, die sich mit dem Thema befasst haben, bejaht die Einstufbarkeit als Religion, was sich in entsprechenden wissenschaftlichen Gutachten zur Verteidigung der Scientology-Kirche in rechtlichen und politi...	The majority of the religious and social scientists, which deals with the topic, answered in the affirmative the one ability as a religion, what is reflected in appropriate scientific advice to the defense of the Church of Scientology in legal and politi...
different	In Florida, where voters approved an increase in 2004, a follow-up comprehensive study after the increase confirmed a strong economy with increased employment above previous years in Florida and better than in the U.S. as a whole.	20 Bundesstaaten haben bislang von der Möglichkeit zur selbständigen Erhöhung des Mindestlohns Gebrauch gemacht, darunter vor allem Staaten im Westen und Nordosten der USA sowie Florida.	20 States have exercised so far of the possibility of independent increasing the minimum wage, in particular States in the West and northeast of the United States, as well as Florida.
different	This helps explain why France also has shockingly high rates of youth unemployment: 26% for 15- to 24-year-olds."	In Frankreich, wo der Mindestlohn so hoch ist, dass 15,6 % der Arbeitnehmer betroffen sind, zeigten sich im Unterschied dazu teilweise starke negative Beschäftigungseffekte, vor allem bei Jugendlichen und Frauen.	In France, where the minimum wage is so high that 15.6% of workers are affected, some strong negative employment effects, especially among young people and women were seen in contrast.
different	The Bundesrat ("federal council", performing the function of an upper house) is the representation of the Federal States (Bundesländer) of Germany and has its seat at the former Prussian House of Lords.	Bundestag (im Reichstagsgebäude), Bundesrat (im Preußischen Herrenhaus) und Bundesregierung haben seitdem ihren Betrieb in der Bundeshauptstadt aufgenommen.	Bundestag (the Reichstag), Bundesrat (the Prussian mansion) and the Federal Government have since their operating in the capital city recorded.
different	2009 saw the rise of the Tea Party movement, an American political movement known for advocating a reduction in the U.S. national debt and federal budget deficit by reducing U.S. government spending and taxes, which had a significant libertarian componen...	Karin Priester meint in derselben APuZ-Ausgabe, in der auch Gero Neugebauer schrieb, dass der in den USA sich formierende minimalstaatliche Libertarismus in der Tea-Party-Bewegung anziehend wirke auf rechtsextreme Splittergruppen wie Milizen, Patriot-Gru...	Karin priest - output, where also Gero Neugebauer wrote that the minimal State libertarianism in the Tea party movement that forms itself in the United States appealing effect on right-wing extremist splinter groups such as militias or Patriot groups whi...
different	According to the Economic Policy Institute, the minimum wage in the United States would have been $18.28 in 2013 if the minimum wage kept pace with labor productivity.	Den höchsten gesetzlichen Mindestlohn in den USA hat San Francisco in Kalifornien mit 10,55 Dollar seit Januar 2013.	San Francisco , California has the highest minimum wage in the United States with 10.55 dollars since January, 2013.
different	Advocates of slavery looked upon the "comparative evils of Slave Society and of Free Society, of slavery to human Masters and slavery to Capital," and proceeded to argue persuasively that wage slavery was actually worse than chattel slavery.	So könne sich in einer libertären Gesellschaft nach Auffassung von Nozick jeder selbst in die Sklaverei verkaufen.	So everyone even in slavery could sell in a libertarian society according to Nozick.
different	Parties to the UNFCCC have adopted a range of policies designed to reduce greenhouse gas emissions and to assist in adaptation to global warming.	Auf der technischen Seite existiert eine Vielzahl von Optionen zur Verminderung von Treibhausgasemissionen.	On the technical side, a wide variety exists options to reduce greenhouse gas emissions.
different	In 2004, the international community's High Representative Paddy Ashdown had the Government of Republika Srpska form a committee to investigate the events.	Im Juni 2004 räumten Vertreter der Republika Srpska erstmals offiziell die Verantwortung bosnisch-serbischer Sicherheitskräfte für das Massaker von Srebrenica ein.	In June 2004, representatives of Republika Srpska officially conceded the responsibility of Bosnian Serb security forces for the massacre at Srebrenica.
different	Although minimum wage laws are in effect in many jurisdictions, differences of opinion exist about the benefits and drawbacks of a minimum wage.	Für alle Beschäftigungsverhältnisse ist ein Mindestgehalt per Gesetz vorgeschrieben.	A minimum wage law is mandatory for all employment relationships.
different	Global warming has been detected in a number of natural systems.	Eine Reihe von Faktoren beeinflussen das globale Klimasystem.	A number of factors affect the global climate system.
different	The system was well received after its exhibition at E3 2006.	Was beispielsweise an Hardware auf der E³ im Mai 2006 gezeigt wurde, war speziell für die Messe angefertigt.	What was shown, for example, to hardware on the E ³ in May 2006, was specially made for the exhibition.
different	The IPCC projections given in the lede span the "likely" range (greater than 66% probability, based on expert judgement) for the selected emissions scenarios.	Mit 90 % Sicherheit wird dies durch Treibhausgase, Rodungen und das Verbrennen von fossilem Treibstoff verursacht.	With 90% certainty, this is caused by greenhouse gases, deforestation and the burning of fossil fuels.
different	Global dimming, a gradual reduction in the amount of global direct irradiance at the Earth's surface, was observed from 1961 until at least 1990.	Er nennt acht Gründe für seine Vermutung, darunter unter anderem auch den Rückgang der globalen Verdunkelung und Rückkopplungseffekte durch Biomasse.	He lists eight reasons for his presumption, including also the decline of global dimming and feedback effects of biomass.
different	In the Stanford Encyclopedia of Philosophy, libertarianism is defined as the moral view that agents initially fully own themselves and have certain moral powers to acquire property rights in external things.	Insbesondere wird deshalb innerhalb des Libertarismus zwischen linken und rechten Strömungen unterschieden, die sich durch unterschiedliche Auffassungen über die Grenzen und den Erwerb von Eigentumsrechten unterscheiden.	In particular therefore within the libertarianism, distinguishes between left and right movements which differ by different views on the borders and the acquisition of property rights.
different	The non-EU member states of Iceland, Norway, Liechtenstein and Switzerland participate in the single market but not in the customs union.	Dies betrifft insbesondere Norwegen, Island und Liechtenstein.	This applies in particular to Norway, Iceland and Liechtenstein.
different	The soldiers then ordered the two remaining captives to take the four dead bodies into a nearby barn, where they were also killed upon completing this task.	Am 2. Juni 2005 zeigte der Anklagevertreter im Prozess gegen den früheren jugoslawischen Staatspräsidenten Slobodan Milošević ein Videoband, das die Erschießung von vier männlichen Jugendlichen und zwei jungen Männern zeigt.	On 2 June 2005, the prosecution representative showed in the trial against the former Yugoslav President Slobodan Milosevic a videotape that shows the shooting of four male teenagers and two young men.
different	"(...) Some scholars regard Nietzsche's 1873 unpublished essay, "On Truth and Lies in a Nonmoral Sense" ("Über Wahrheit und Lüge im außermoralischen Sinn") as a keystone in his thought.	Starke Kritik kam erstmals von Friedrich Nietzsche, der auf die menschlichen Interessen, Neigungen, den Willen, und das Triebhafte hingewiesen hat, das hinter aller Erkenntnis steht.	Strong criticism was first introduced by Friedrich Nietzsche, who pointed out the human interests, inclinations, the will, and the primitive, that is behind of all knowledge.
different	Twenty-one games were announced for launch day in North and South America, with another twelve announced for release later in 2006.	2006 wurde einige Tage vor Beginn der E³ der endgültige Name der Spielkonsole bekanntgegeben.	2006 the final name of the game console was announced a few days before the start of the E ³.
different	There are six countries which are recognized as candidates for membership: Albania, Iceland, Macedonia,[e] Montenegro, Serbia, and Turkey.	Serbien wurde am 1. März 2012 formal als Beitrittskandidat anerkannt und Albanien am 24. Juni 2014.	Serbia was recognized formally and Albania on March 1, 2012 as a candidate on June 24, 2014th
different	A number of Scientology organizations specialize in promoting the use of Scientology technology as a means to solve social problems.	Der analytische Verstand löse bewusst Probleme und speichere Erfahrungen für spätere Problemlösungen als mentale Bilder.	The analytical mind deliberately to solve problems and save experiences for future problem solving as mental images.
different	Watzenrode came to be considered the most powerful man in Warmia, and his wealth, connections and influence allowed him to secure Copernicus' education and career as a canon at Frombork Cathedral.	Die sterblichen Überreste wurden am 22. Mai 2010 feierlich als diejenigen von Kopernikus im Frauenburger Dom wieder beigesetzt.	The remains were buried solemnly again on May 22, 2010 than those of Copernicus in Frombork Cathedral .
different	Under the de-inflated figures, the EU as a whole did not reach its internal aid target in 2006 and is expected not to reach the international target of 0.7% of gross national income until 2015.	Die Beiträge der Mitgliedstaaten resultieren zum einen aus einem Anteil der Umsatzsteuer, der an die EU abzuführen ist (sogenannte Mehrwertsteuer-Eigenmittel), zum anderen aus Beiträgen, die sich proportional aus dem Bruttonationaleinkommen (BNE) der ...	The contributions of Member States to the one resulting from a proportion of the VAT, which is to be transferred to the EU (so-called VAT own resources), on the other, the contributions arising from the gross national income (GNI) of the States proportio...
different	Japan's exports amounted to US$4,210 per capita in 2005.	Der Export im Jahr 2011 betrug 822,7 Milliarden US-Dollar.	The export amounted to US$ 822,7 billion in 2011.
different	The best-selling unbundled game is Mario Kart Wii, with 35.53 million units sold.	Das Mario Kart Wii Pack ist laut Nintendo limitiert und erschien am 26. November 2010.	The Mario Kart Wii Pack is limited according to Nintendo, released 2010 on November 26
different	The combined population of all member states, excluding Croatia, which joined the EU in 2013, was forecast to be 503,679,730 on 1 January 2012.	Die Europäische Union gehört damit mit einer Bevölkerungsdichte von 116 Einwohner/km2 zu den dichtest besiedelten Regionen der Welt.	the European Union thus with a population density of 116 inhabitants/km2 belongs to the most densely populated regions of the world.
different	Precipitation is not heavy, but the islands usually develop deep snowbanks in the winter.	Im späten Juni und frühen Juli fällt im Süden ein Großteil des Jahresniederschlages als monsunartige Regenfront (梅雨前線, baiu zensen).	In late June and early July, most of the annual precipitation as monsoon-like falling rain front in the South (梅雨前線, shoki Zaidan).
different	Another estimated 460,000 citizens in 2013 are descendants of international migrants and have either become naturalized German citizens or obtained citizenship by virtue of birth in Germany.	So sind bis heute in zahlreichen Ortsteilen im Westteil über 40 Prozent der deutschen Einwohner evangelisch oder katholisch, während es in den in der DDR entstandenen Neubaugebieten teils unter 10 Prozent sind.	As over 40 percent of the German population are Protestant or Catholic, remained in many districts in the western part while there are partly in the new territories resulting in the GDR under 10 percent.
different	According to an interview with Nintendo game designer Shigeru Miyamoto, the concept involved focusing on a new form of player interaction.	2013 gab Shigeru Miyamoto an, dass man die Entscheidung die Wii nicht für HDTV konzipiert zu haben im Nachhinein bereut habe.	2013, Shigeru Miyamoto stated that one to have designed the Wii not for HDTV afterwards have regretted the decision.
different	After the Soviet invasion of Manchuria and the atomic bombings of Hiroshima and Nagasaki in 1945, Japan agreed to an unconditional surrender on August 15.	Mit Gebeten, Kranzniederlegungen und Aufrufen zu einer nuklearwaffenfreien Welt haben in Hiroshima Menschen der Opfer des ersten Atombombenabwurfs 61 Jahre zuvor gedacht.	With prayers, wreath stoppages and calls for a nuclear-free world people have thought in Hiroshima for victims of the first atomic 61 years earlier.
different	Global warming is the observed century-scale rise in the average temperature of Earth's climate system.	Dies wird anhand von Beobachtungen der steigenden Durchschnittstemperatur der Luft und Ozeane, großflächigem Abschmelzen von Schnee- und Eisflächen und dem Meeresspiegelanstieg ermittelt.	This is determined by observations of increasing average temperature of the air and oceans, large-scale melting of snowand ice and sea level rise .
different	The All Sports Team has received the award "Team of the Year 2013" in Lower Saxony	Hannover beheimatet mit dem All Sports Team Hannover eine Topmannschaft im Drachenbootsport.	Hannover is a top team in the Dragonwith the All Sports Team Hannover .
different	In the 1990s, representatives of Scientology began to take action against increased criticism of Scientology on the Internet.	1990 ergab eine repräsentative Umfrage unter US-Amerikanern nur noch 45.000 Scientologen.	in 1990, a representative survey of Americans found only 45,000 Scientologists.
different	Global warming has been detected in a number of natural systems.	Der Themenkomplex der globalen Erwärmung war seit jeher Gegenstand kontroverser Diskussionen mit wechselnden Schwerpunkten.	The issue of global warming has been always the subject of controversial discussions with changing priorities.
different	While Rheticus initially supervised the printing, he had to leave Nuremberg before it was completed, and he handed over the task of supervising the rest of the printing to a Lutheran theologian, Andreas Osiander.	Der Reformator Andreas Osiander hatte zudem eigenmächtig und anonym ein Vorwort hinzugefügt, in dem das neue Weltbild als bloßes Rechenhilfsmittel dargestellt wird, als mathematische Hilfskonstruktion zur einfacheren Berechnung der Planetenbahnen.	The reformer Andreas Osiander had added anonymously and also on their own a preface, in which the new worldview as mere computational tool is represented as mathematical auxiliary to the simpler calculation of the planets.
different	While acknowledging that a number of his colleagues accept Scientology as a religion, sociologist Stephen A. Kent writes: "Rather than struggling over whether or not to label Scientology as a religion, I find it far more helpful to view it as a multiface...	Der politische Einfluss dieser Tarnorganisationen beschränke sich bis heute hauptsächlich auf die Vereinigten Staaten, doch einige der betreffenden Organisationen spiegeln nach Ansicht von Stephen A. Kent „eine totalitäre Ideologie mit dem Ziel welt...	The political influence of this concealed limit until today mainly on the United States, but some of the organisations concerned reflect opinion of Stephen A. Kent "a totalitarian ideology with the aim of world domination".
different	Berlin is known for its numerous cultural institutions, many of which enjoy international reputation.	Berlin ist besonders auch für sein Nachtleben bekannt.	Berlin is known for its night life .
different	Approximately 80% of the 12,000 registered Jews, 0.3% now residing in Berlin have come from the former Soviet Union.	Nach älteren Angaben sind 7,2 Prozent dem Islam zuzurechnen, 0,3 Prozent gehören zur Jüdischen Gemeinde, 0,6 Prozent gehören einer weiteren Religion an.	According to older, 7.2 per cent are attributable to Islam, 0.3 per cent belong to the Jewish community, 0.6 percent belong to an another religion.
different	Reductions in emissions of non-CO2 anthropogenic GHGs (e.g., methane and nitrous oxide) would also be necessary.	Der Volumenanteil von Lachgas stieg von vorindustriell 270 ppbV auf mittlerweile 323 ppbV.	The volume fraction of nitrous oxide has risen from pre-industrial 270 ppbV now 323 ppbV.
different	On 16 November 1995 Radovan Karadžić, "President of the Republika Srpska" and Ratko Mladić, Commander of the VRS, were indicted by the International Criminal Tribunal for the Former Yugoslavia for their alleged direct responsibility for the atrocities...	Staaten, die keine Truppen vor Ort hatten, favorisierten zunehmend eine Erweiterung des Mandats; auch die Anwendung von militärischer Gewalt gegen die VRS sollte aus ihrer Sicht erwogen werden.	States which had no troops on the ground, increasingly favored an extension of the mandate; the use of military force against the VRS should be considered from their point of view.
different	Flinn further states that religion requires "beliefs in something transcendental or ultimate, practices (rites and codes of behavior) that re-inforce those beliefs and, a community that is sustained by both the beliefs and practices", all of which are pr...	Diese Zahl umfasst auch Personen, die lediglich an einem Einführungskurs teilnahmen.	This figure includes people who only attended an introductory course.
different	In the mid-sixties, the Church of Scientology was banned in several Australian states, starting with Victoria in 1965.	Während Hubbard in Dianetik Hypnose ablehnt, sprach der Report für die australische Regierung im Jahre 1965 davon, dass beim Auditing hypnotisierende Techniken eingesetzt werden.	While Hubbard Dianetics hypnosis, the report for the Australian Government said in 1965 the fact that hypnotic techniques used in auditing.
different	Today, the EU has some of the most progressive environmental policies of any state in the world.	Dieser Reformprozess der Gemeinsamen Agrarpolitik ist jedoch bis heute nicht abgeschlossen.	However, this process of reform of the common agricultural policy is not completed until today.
different	A Nintendo GameCube Memory Card is also necessary to save game progress and content, since the Wii internal flash memory will not save GameCube games.	Sie sind per Internet-Download verfügbar und können im internen Flash-Speicher oder auf einer SD-Speicherkarte gespeichert werden.	They are available via Internet download and can be stored in the internal Flash memory or on an SD memory card.
different	The Independent Evangelical Lutheran Church has eight parishes of different sizes in Berlin.	Diese Kirchengemeinden gehören zum Kirchenbezirk Berlin-Brandenburg, der von Superintendent Peter Brückmann, Berlin-Wedding, geleitet wird.	These parishes belong to the Church District Berlin-Brandenburg, led by Superintendent Peter Brückmann, Berlin-wedding.
different	Japan's main import markets {{as of}} were China (21.3 percent), the US (8.8 percent), Australia (6.4 percent), Saudi Arabia (6.2 percent), United Arab Emirates (5.0 percent), South Korea (4.6 percent) and Qatar (4.0 percent).	Daraus ergibt sich ein Haushaltsdefizit in Höhe von 8,5 % des BIP.	This results in a deficit of 8.5% of GDP.
different	Primary schools, secondary schools and universities were introduced in 1872 as a result of the Meiji Restoration.	Vor jedem weiteren Schritt im japanischen Bildungssystem steht dann eine Aufnahmeprüfung (Mittelschule (zum Teil), Oberschule, Uni).	An entrance exam (secondary school (in part), high school, University) is available before any other step in the Japanese education system.
different	Other concerns include purchasing power, inflation indexing and standardized working hours.	Seitdem wurde er regelmäßig erhöht, und seine stärkste Kaufkraft bestand im Jahr 1968 mit 1,60 Dollar pro Stunde, was auf Preise des Jahres 2013 umgerechnet 10,70 Dollar entspricht.	Since then he has been regularly increased, and his strongest purchasing power was in 1968 with 1.60 dollars per hour, which is equivalent to $ 10.70 dollars on prices of the year 2013.
different	On 25 April 2013, President Tomislav Nikolic apologized for the massacre: "I kneel and ask for forgiveness for Serbia for the crime committed in Srebrenica.	Zu jenen, die den Begriff „Völkermord“ ablehnen, gehört der serbische Präsident Tomislav Nikolić.	Among those who reject the term "Genocide", the Serbian President Tomislav Nikolić.
different	Zdravko Tolimir was an advocate of the use of chemical weapons against the ArBiH.)	Im Prozess gegen Zdravko Tolimir, einen von sieben Stellvertretern Mladićs, wurde dieser am 12. Dezember 2012 der Anklage des Völkermordes für schuldig befunden und zu lebenslanger Haft verurteilt.	In the trial of Zdravko Tolimir, this was sentenced one of seven deputies of Mladić, on December 12, 2012 the accusation of genocide found guilty and to life imprisonment.
different	On 4 June 1995, the French commander of the UN forces in former Yugoslavia, general Bernard Janvier, secretly met with Ratko Mladić to obtain the release of hostages, many of whom were French.	Die Lage für die UNO-Soldaten vor Ort wurde auch dadurch verschärft, dass der kommandierende französische General Bernard Janvier jegliche Luftunterstützung verweigerte.	The situation for the UN troops on the ground was also exacerbated by the Commander, French General Bernard Janvier refused to allow any air support.
different	The largest international gateways are Narita International Airport, Kansai International Airport and Chūbu Centrair International Airport.	Da in Japan nur wenig ebenes Land zur Verfügung steht, wurden sowohl der Flughafen Kansai als auch der Flughafen Aichi auf künstlichen Inseln im Meer errichtet.	Because there is little flat land available in Japan, the Kansai International Airport as well as the airport in Aichi on artificial islands in the sea were built.
different	Though not, strictly, a federation, it is more than a free-trade association.	Insgesamt umfassen die Staatsgebiete der derzeitigen Mitgliedstaaten zusammen eine Grundfläche von 4.381.324 km².	Overall, the territories of the present Member States together include an area of 4.381.324 km².
different	The city recorded 26.9 million overnight hotel stays and 11.3 million hotel guests in 2013.	Die Verweildauer der Hotelgäste beträgt im Durchschnitt 2,2 Tage.	The length of stay of hotel guests is the average 2.2 days.
different	Modern Berlin is home to universities, orchestras, museums, entertainment venues, and is host to many sporting events.	1999 wurde die Museumsinsel in die UNESCO-Liste des Weltkulturerbes aufgenommen.	in 1999, the Museum Island was recorded in the UNESCOlist of world cultural heritage .
different	Following German reunification in 1990, the city was once more designated as the capital of all Germany, hosting 158 foreign embassies.	Bis zur Wiedervereinigung Deutschlands am 3. Oktober 1990 verlief westlich des Tors die Grenze zwischen beiden Stadthälften.	Until the reunification of Germany on 3 October 1990, the border between the two halves of the city was West of the gate.
different	Japan will host the 2019 IRB Rugby World Cup.	Japan war Gastgeber der Fußballweltmeisterschaft im Jahre 2002.	Japan hosted the World Cup in 2002.
different	Agricultural businesses in Japan cultivate 13 percent of Japan's land, and Japan accounts for nearly 15 percent of the global fish catch, second only to China.	Daraus ergibt sich ein Haushaltsdefizit in Höhe von 8,5 % des BIP.	This results in a deficit of 8.5% of GDP.
different	Although the unification of Germany, according to the principles of the Burschenschaft soon failed violently, the Studentenverbindungen had emancipated themselves, and many of the members of the first Frankfurt parliament were in fact Burschenschaft or C...	1848 hob die Frankfurter Nationalversammlung die Karlsbader Beschlüsse auf.	in 1848, the Frankfurt National Assembly lifted the Carlsbad decrees.
